activity_id,activity_name,activity_description,category_name,class_name
0,Unknown,"The event activity is unknown.","System Activity","File System Activity"
1,Create,"A request to create a new file on a file system.","System Activity","File System Activity"
2,Read,"A request to read data from a file on a file system.","System Activity","File System Activity"
3,Update,"A request to write data to a file on a file system.","System Activity","File System Activity"
4,Delete,"A request to delete a file on a file system.","System Activity","File System Activity"
5,Rename,"A request to rename a file on a file system.","System Activity","File System Activity"
6,"Set Attributes","A request to set attributes for a file on a file system.","System Activity","File System Activity"
7,"Set Security","A request to set security for a file on a file system.","System Activity","File System Activity"
8,"Get Attributes","A request to get attributes for a file on a file system.","System Activity","File System Activity"
9,"Get Security","A request to get security for a file on a file system.","System Activity","File System Activity"
10,Encrypt,"A request to encrypt a file on a file system.","System Activity","File System Activity"
11,Decrypt,"A request to decrypt a file on a file system.","System Activity","File System Activity"
12,Mount,"A request to mount a file on a file system.","System Activity","File System Activity"
13,Unmount,"A request to unmount a file from a file system.","System Activity","File System Activity"
14,Open,"A request to create a file handle.","System Activity","File System Activity"
99,Other,"The event activity is not mapped.","System Activity","File System Activity"
